bin_index,delta_chi2_center,n_total,abs_u0_q16,abs_u0_median,abs_u0_q84,tE_q16,tE_median,tE_q84,rho_q16,rho_median,rho_q84,piE_q16,piE_median,piE_q84,sigma_u0_q16,sigma_u0_median,sigma_u0_q84,rel_sigma_tE_q16,rel_sigma_tE_median,rel_sigma_tE_q84,rel_sigma_rho_q16,rel_sigma_rho_median,rel_sigma_rho_q84,rel_sigma_piE_parallel_q16,rel_sigma_piE_parallel_median,rel_sigma_piE_parallel_q84
0,-11.43171382217007,5,0.9863479320967323,1.5587593903933088,3.0136779322796223,51.00351965348085,136.62433873028237,1213.6542006420696,0.30934760181190635,0.5341820577511641,5.756096879469833,0.6937422934281412,0.7822594634987573,1.7098260471376772,11.873126387877619,120.60850285483099,370435.4596629252,5.838389537235535,2138.1113109695516,28103.367820175456,104.6931062792103,360.41355182858285,365080.4431975731,10.779313062706118,28.413207624108615,144039.63647763946
1,-7.38676669653063,22,0.41913499258223985,0.7891810418488281,1.0913256203784585,156.99026300096827,522.2006694598498,2397.456904133817,0.008871527828201865,0.29258788669240915,1.2823954689395463,0.30710982204845266,0.8542440594251524,1.7229739635851216,0.4025915435319359,19.614224473761812,167.05921006903927,0.3397551490586187,15.955813817279108,362.1670635114681,2.5276476950440827,64.42500750517115,15217.861603960606,1.0654594477095638,12.707455975773556,69.06627794531224
2,-4.657937162018517,87,0.13813298998266801,0.5494951973421405,1.1104415292510286,59.30851155542789,238.48388883851027,2101.899993383026,0.004342378498750892,0.17740024970481827,1.1020585804348615,0.2349726954457286,0.7567451067397089,1.7039005696068241,0.7116113662820718,9.037062264796736,232.12709320777162,0.09836123067820382,7.1861591073903615,209.87545242431804,10.729433785426368,74.14696033664168,8020.374157816633,0.8099687351532255,7.211735750266885,103.50777182369389
3,-2.81699576102346,214,0.13766719230127616,0.4826051139068713,1.0289476734503897,47.47039509362224,232.76267949216873,2351.433993683315,0.000929317205738745,0.23677633124208608,1.0880028798758838,0.30080252934449947,0.8160273986529868,1.7688610623052672,0.3131544703276602,6.911848509563857,78.80663550837494,0.28609165544702436,8.220117806112302,167.28556592662184,6.536623579339874,76.11395879967229,64494.516690181925,1.1389650711467767,6.820189746037152,69.82794948268324
4,-1.5750474461744086,359,0.10330709108931382,0.4594017727828588,0.9158412768378249,53.232881370538976,236.94426103065683,2495.7900057142037,0.0024016422144303826,0.19992609546992218,0.7531404278000159,0.2666022429168924,0.6779992662485095,1.5783724258757679,0.8063254137620479,5.648394198605413,100.61020474057544,0.4721474577560958,8.820911605146344,156.3091256232579,7.202643979215125,81.80033882118578,33345.4014047512,1.2221387621365045,5.6796747694780265,68.31928797336337
5,-0.7371958904851899,649,0.11349680398257159,0.4467351609349783,0.9218966379228423,46.88832837616475,227.67859647287142,2085.338748232196,0.004689192432906974,0.19914897492008807,0.7590994360464118,0.21959166974317634,0.6230972106966046,1.4463639737015963,0.6510776852126605,4.51256378168483,74.73899981898727,0.7276212614542271,9.165940099393707,150.9647801362446,5.649465163223709,57.782706346349975,26399.751719409094,1.4789801668403815,6.35027471196785,51.85779819783563
6,-0.17195881823539483,2819,0.11932289778412758,0.45024778516436537,0.8889224538024919,27.561231730286067,71.87603361899696,561.5154094496093,0.00015396632123666556,0.09238928659656336,0.46386824479329075,0.09512991041292926,0.45386207102593856,1.4514722856262356,0.5878620342825877,5.562062414557942,114.10764242041887,0.5033173139075119,6.933238403955612,171.02974989794117,16.327054198428144,204.23754506042198,943487.8599969873,3.726153261360376,17.433974942743603,160.1130129582371
7,0.26480650632457703,12407,0.11390109945345585,0.41842012443420673,0.8431547711868629,22.318298731649737,49.084107246270165,149.47482891225627,5.070248986449171e-06,0.06899730156725696,0.3146360669942681,0.13174644243578418,0.4591880766990703,1.584646352336701,0.2826225115469747,1.9960574216192946,23.61602863997289,0.26344337276206037,2.2782760988353283,29.19204765413432,18.479849747699255,178.72853334801184,13877499.924846606,2.20808326329896,6.031285490640348,28.623990308907143
8,0.8748241242421044,13976,0.10259419664550874,0.39514889738645487,0.8390703485262472,23.350309497248762,50.499707421517236,164.68656005505105,6.196530134543677e-06,0.0779664192066873,0.35126217549390637,0.19398971057894673,0.5924562752870598,1.8316239320681975,0.23079562571161227,1.414245923839215,11.898417234241412,0.222845255876667,1.7542533404555196,14.543764839540069,11.006469067742074,108.58408571050664,9360485.176604833,1.120575127276107,2.7440711374842586,10.663455111426936
9,1.7790539337549522,15668,0.1007217354063428,0.3920467005660361,0.8360152726140089,24.338905334773507,52.766533638374554,174.350708447467,1.2301304487122415e-05,0.08520990754406811,0.36590662622237163,0.22670962053129393,0.6504450637862763,2.0336989393283065,0.20615833882638196,1.1242277359687471,8.509825107933073,0.20466981636198137,1.5174804109216171,10.946007424335008,8.11199187828114,78.86136658273003,3899183.8995974804,0.7523583252321391,1.811855636500657,6.867836657468565
10,3.119394809814998,16584,0.10402535265922745,0.39639783315486066,0.8521155825427429,25.55619183716474,56.07741251448118,185.52527830038215,6.29005277755902e-06,0.08608715269762332,0.37374575079488803,0.24008150346330323,0.6817426227483414,2.0215468048274614,0.1764923897422949,0.9566931548842548,6.657076939701369,0.18982209557956378,1.2826006011824538,8.459325721603214,6.611040313009679,69.0649668296166,7327973.28447887,0.5668813996870106,1.3770793006367081,5.034148133602987
11,5.106183616307982,16155,0.11026804052601968,0.3964025155322937,0.8438634932094952,28.143781383086935,59.80764441446404,196.49875458230886,2.8660283334542446e-06,0.07473270008372729,0.3534548057159712,0.23295698932623934,0.6402127056539492,1.7575562422848905,0.15172493944907894,0.7811096362346257,5.063253132162819,0.1767099435397125,1.0924504546631142,6.707977190799899,5.866939904579079,71.01232962179782,13320762.704932617,0.46749732949621303,1.0871275870935613,3.863324393472019
