tE_bin,piE_bin,tE_left_days,tE_right_days,tE_center_days,piE_left,piE_right,piE_center,n_positive,n_detected,n_confused,detection_fraction,shown_in_heatmap
0,0,2.5,3.3556372631126368,2.8963931290109066,0.01,0.015254239308390182,0.012350805361752804,0,0,0,,False
0,1,2.5,3.3556372631126368,2.8963931290109066,0.015254239308390182,0.02326918168776363,0.01884021406395259,0,0,0,,False
0,2,2.5,3.3556372631126368,2.8963931290109066,0.02326918168776363,0.035495366597555714,0.028739313395283128,0,0,0,,False
0,3,2.5,3.3556372631126368,2.8963931290109066,0.035495366597555714,0.05414548164181543,0.043839636409047256,0,0,0,,False
0,4,2.5,3.3556372631126368,2.8963931290109066,0.05414548164181543,0.08259481344323,0.0668740304976422,1,0,1,0.0,False
0,5,2.5,3.3556372631126368,2.8963931290109066,0.08259481344323,0.12599210498948735,0.10201124647276179,1,0,1,0.0,False
0,6,2.5,3.3556372631126368,2.8963931290109066,0.12599210498948735,0.19219137204774617,0.1556103965842683,0,0,0,,False
0,7,2.5,3.3556372631126368,2.8963931290109066,0.19219137204774617,0.29317331822241716,0.23737182283699315,1,0,1,0.0,False
0,8,2.5,3.3556372631126368,2.8963931290109066,0.29317331822241716,0.447213595499958,0.3620926590624291,0,0,0,,False
0,9,2.5,3.3556372631126368,2.8963931290109066,0.447213595499958,0.6821903207721969,0.5523448073149632,1,0,1,0.0,False
0,10,2.5,3.3556372631126368,2.8963931290109066,0.6821903207721969,1.040629440692656,0.8425599871529117,1,0,1,0.0,False
0,11,2.5,3.3556372631126368,2.8963931290109066,1.040629440692656,1.5874010519682002,1.2852611675704677,0,0,0,,False
0,12,2.5,3.3556372631126368,2.8963931290109066,1.5874010519682002,2.4214595525113247,1.960568142390089,0,0,0,,False
0,13,2.5,3.3556372631126368,2.8963931290109066,2.4214595525113247,3.6937523489595185,2.990697562442443,0,0,0,,False
0,14,2.5,3.3556372631126368,2.8963931290109066,3.6937523489595185,5.6345382276956855,4.5620816316516235,2,0,2,0.0,False
0,15,2.5,3.3556372631126368,2.8963931290109066,5.6345382276956855,8.595059451754269,6.959108495362503,0,0,0,,False
0,16,2.5,3.3556372631126368,2.8963931290109066,8.595059451754269,13.111109374690052,10.615590636131074,0,0,0,,False
0,17,2.5,3.3556372631126368,2.8963931290109066,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
1,0,3.3556372631126368,4.504120576636027,3.8876978849329626,0.01,0.015254239308390182,0.012350805361752804,0,0,0,,False
1,1,3.3556372631126368,4.504120576636027,3.8876978849329626,0.015254239308390182,0.02326918168776363,0.01884021406395259,0,0,0,,False
1,2,3.3556372631126368,4.504120576636027,3.8876978849329626,0.02326918168776363,0.035495366597555714,0.028739313395283128,0,0,0,,False
1,3,3.3556372631126368,4.504120576636027,3.8876978849329626,0.035495366597555714,0.05414548164181543,0.043839636409047256,0,0,0,,False
1,4,3.3556372631126368,4.504120576636027,3.8876978849329626,0.05414548164181543,0.08259481344323,0.0668740304976422,0,0,0,,False
1,5,3.3556372631126368,4.504120576636027,3.8876978849329626,0.08259481344323,0.12599210498948735,0.10201124647276179,0,0,0,,False
1,6,3.3556372631126368,4.504120576636027,3.8876978849329626,0.12599210498948735,0.19219137204774617,0.1556103965842683,3,0,3,0.0,False
1,7,3.3556372631126368,4.504120576636027,3.8876978849329626,0.19219137204774617,0.29317331822241716,0.23737182283699315,2,0,2,0.0,False
1,8,3.3556372631126368,4.504120576636027,3.8876978849329626,0.29317331822241716,0.447213595499958,0.3620926590624291,1,0,1,0.0,False
1,9,3.3556372631126368,4.504120576636027,3.8876978849329626,0.447213595499958,0.6821903207721969,0.5523448073149632,4,0,4,0.0,False
1,10,3.3556372631126368,4.504120576636027,3.8876978849329626,0.6821903207721969,1.040629440692656,0.8425599871529117,2,0,2,0.0,False
1,11,3.3556372631126368,4.504120576636027,3.8876978849329626,1.040629440692656,1.5874010519682002,1.2852611675704677,1,0,1,0.0,False
1,12,3.3556372631126368,4.504120576636027,3.8876978849329626,1.5874010519682002,2.4214595525113247,1.960568142390089,0,0,0,,False
1,13,3.3556372631126368,4.504120576636027,3.8876978849329626,2.4214595525113247,3.6937523489595185,2.990697562442443,0,0,0,,False
1,14,3.3556372631126368,4.504120576636027,3.8876978849329626,3.6937523489595185,5.6345382276956855,4.5620816316516235,2,0,2,0.0,False
1,15,3.3556372631126368,4.504120576636027,3.8876978849329626,5.6345382276956855,8.595059451754269,6.959108495362503,2,0,2,0.0,False
1,16,3.3556372631126368,4.504120576636027,3.8876978849329626,8.595059451754269,13.111109374690052,10.615590636131074,0,0,0,,False
1,17,3.3556372631126368,4.504120576636027,3.8876978849329626,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
2,0,4.504120576636027,6.045677937804893,5.218281556162093,0.01,0.015254239308390182,0.012350805361752804,0,0,0,,False
2,1,4.504120576636027,6.045677937804893,5.218281556162093,0.015254239308390182,0.02326918168776363,0.01884021406395259,0,0,0,,False
2,2,4.504120576636027,6.045677937804893,5.218281556162093,0.02326918168776363,0.035495366597555714,0.028739313395283128,2,0,2,0.0,False
2,3,4.504120576636027,6.045677937804893,5.218281556162093,0.035495366597555714,0.05414548164181543,0.043839636409047256,0,0,0,,False
2,4,4.504120576636027,6.045677937804893,5.218281556162093,0.05414548164181543,0.08259481344323,0.0668740304976422,1,0,1,0.0,False
2,5,4.504120576636027,6.045677937804893,5.218281556162093,0.08259481344323,0.12599210498948735,0.10201124647276179,2,0,2,0.0,False
2,6,4.504120576636027,6.045677937804893,5.218281556162093,0.12599210498948735,0.19219137204774617,0.1556103965842683,5,0,5,0.0,False
2,7,4.504120576636027,6.045677937804893,5.218281556162093,0.19219137204774617,0.29317331822241716,0.23737182283699315,12,0,12,0.0,False
2,8,4.504120576636027,6.045677937804893,5.218281556162093,0.29317331822241716,0.447213595499958,0.3620926590624291,4,0,4,0.0,False
2,9,4.504120576636027,6.045677937804893,5.218281556162093,0.447213595499958,0.6821903207721969,0.5523448073149632,13,0,13,0.0,False
