bin_index,delta_chi2_center,n_total,dt0_over_tE_q16,dt0_over_tE_median,dt0_over_tE_q84,dt0_over_tE_median_normalized,du0_q16,du0_median,du0_q84,du0_median_normalized,dlog10_tE_q16,dlog10_tE_median,dlog10_tE_q84,dlog10_tE_median_normalized,dlog10_rho_q16,dlog10_rho_median,dlog10_rho_q84,dlog10_rho_median_normalized
0,-11.43171382217007,5,0.34323171063333024,0.5189760132405075,22.68932081960594,8.894406909262266,1.1683369585448469,1.6924675055163934,3.3576122222600593,8.181305614214237,0.052432817396915396,1.0294084889751771,1.8381960565892164,5.219711689112713,0.4694408031124994,1.106143231041646,2.8130058516831613,0.4847508809947219
1,-7.38676669653063,22,0.0536118714592025,0.21434899846055633,1.1091547711020548,3.6735940857780878,0.3681137026497721,0.7661092078883807,1.1234589918137685,3.703334653793576,0.34525062850945765,0.4698749193920695,0.8978414678300082,2.382544573353349,0.512827747439388,2.3040818993151726,5.800772682848388,1.0097297521996687
2,-4.657937162018517,87,0.01698318955973815,0.12411460456295652,0.6216357213557424,2.1271229656109854,0.07930491568254278,0.6053234795058329,1.5312686323754843,2.926104262064249,0.11110096008108303,0.43997919658120704,1.728229590837731,2.230955524417407,0.4185872969202694,1.6668655791697342,5.812893513482195,0.7304791416943405
3,-2.81699576102346,214,0.005457328417231967,0.069385069897002,0.4855443907954315,1.1891475315749147,0.11353029870812072,0.44808605981551625,1.0471651071396444,2.166026221993135,0.09669844857981119,0.5167732660123925,1.4929253666966498,2.6203470110405154,0.39784802103867417,1.5226673866084943,4.438894330826102,0.6672864204261525
4,-1.5750474461744086,359,0.005635393335768263,0.07191201587839233,0.3661787755265205,1.2324552861200075,0.07860719204574514,0.37655990042632426,0.8848999494847525,1.820272245939436,0.11299913400591773,0.4911691831209226,1.3438761352164497,2.4905191223170924,0.4223544325711978,1.5655531837567767,4.702344085377891,0.6860804855764803
5,-0.7371958904851899,649,0.006282486545577907,0.053308818254682054,0.3662552021574213,0.9136266596377671,0.07569733238574103,0.34323547303960544,0.8652673021655624,1.6591835845732303,0.10929606056296602,0.48855082664902516,1.2813628796388374,2.477242501783068,0.4259850779848653,1.4869434751035366,4.566095211225603,0.6516309455395066
6,-0.17195881823539483,2819,0.0016059558375655712,0.018425891028717785,0.21766969760309351,0.3157898790963798,0.01542653660673631,0.166015184145491,0.65565647828647,0.8025093265704414,0.014965509593106914,0.15158708712493443,0.8397703180108391,0.7686364539040121,0.3043857864834301,1.434458579699341,4.873474124400761,0.6286302178108372
7,0.26480650632457703,12407,0.0018242722314213823,0.011785561098530621,0.09983097332496646,0.20198539699314452,0.013839506406202143,0.09995376630329375,0.39973268517569877,0.48317164539563096,0.013345339594207008,0.08728874959837105,0.38470127297086,0.44260574056489715,0.3448596813487905,1.534958196305234,5.0453655217898685,0.6726726856596542
8,0.8748241242421044,13976,0.0027330299719975845,0.016250304101623734,0.11259657063297586,0.2785038487166319,0.019684460127892323,0.1303554820512311,0.4432498804200114,0.6301320608361956,0.021627413584407854,0.12208461366103383,0.43302990962607435,0.6190414124345485,0.3704896227257093,1.710202753673817,5.210499780178689,0.7494710162826732
9,1.7790539337549522,15668,0.0035036024506172963,0.019763519073318837,0.12915236567219898,0.33871465368785786,0.022495543073258413,0.1486405863448081,0.48734854919202225,0.7185213657569365,0.02578074516487798,0.1388033661769682,0.46097576434132254,0.7038154053337945,0.39500246458400406,1.770097392183522,5.250657677297548,0.7757189541352593
10,3.119394809814998,16584,0.003974037090467285,0.022835782007340863,0.14794213039325177,0.3913682561093098,0.025446521068568696,0.15932718186816902,0.5059544677390594,0.7701798488103132,0.02899147064927537,0.1499932179224046,0.47958711114597563,0.7605545915563992,0.41226203630523944,1.917782527249876,5.37890540384701,0.8404397762893879
11,5.106183616307982,16155,0.004607798556993387,0.026523463984437043,0.16539903562871414,0.454569142507591,0.026089220069339537,0.1691014902378188,0.5262428591635007,0.8174283801286609,0.03161977442533901,0.15922482848757952,0.4822065214649556,0.8073643333571022,0.42809216832316765,2.0688913447499697,5.414770826036995,0.9066609765405182
12,8.05120292602945,15326,0.005463562211748839,0.03070359533010676,0.18653290298762357,0.5262098121608885,0.025372805973361834,0.17564554903168828,0.524763493378825,0.8490620420899857,0.033318532999613897,0.1616936396229436,0.4949963248335588,0.8198826703238983,0.42862693568846116,2.241014563250585,5.4579549749843626,0.9820914266543326
13,12.416608401582662,14661,0.00614286501576122,0.034034473209177636,0.21639638643219708,0.5832956551780439,0.028743163160983333,0.17982740033069078,0.5369581455468981,0.8692769078991225,0.035132460543620625,0.16804870551160514,0.4903576046041497,0.8521066242347037,0.4170857116709425,2.3454854240079435,5.458183339001101,1.0278742334095816
14,18.8874539077849,14507,0.006886294865869427,0.03956177806819106,0.24483377390040698,0.6780246932710335,0.02994285042255221,0.18552613977834032,0.5404813841597381,0.8968243372500772,0.036843416600463516,0.17552534158436045,0.49939032168040826,0.8900176042996288,0.4167968377885877,2.361457745010765,5.493391331180221,1.034873866423072
15,28.479195568353415,14846,0.00802720314828681,0.04473358784054496,0.2589646251241198,0.7666611223140399,0.031489701551614874,0.1892119888591757,0.536000579674004,0.91464155245799,0.03846096615006494,0.17233475202360415,0.4929802332085815,0.8738394225537017,0.4083907549870449,2.458721776893923,5.493296264056819,1.0774983872096433
16,42.69704515151887,15005,0.00917974017993231,0.04972522695744693,0.27561997774143954,0.8522097186214027,0.03245044593945936,0.1925490860414949,0.5296473965696527,0.9307729179488484,0.040660663740149865,0.1762183197504467,0.48514299406854566,0.893531414679628,0.39253987792638545,2.460154341318865,5.557415666627908,1.078126187342198
17,63.772179774935864,14915,0.009974181162486112,0.05513151006948085,0.2972654346192993,0.9448646403100824,0.033851138786730024,0.19581374128450896,0.526253998013407,0.9465541026280755,0.04431059361377157,0.18752978480066795,0.49869105586873375,0.9508872524990825,0.4280209019264481,2.6286394103722723,5.563576104835992,1.151962272368171
18,95.01187582018416,15142,0.010954121229925782,0.061972415785167934,0.33210560384330745,1.0621066659738414,0.03564907637512917,0.20440375125742005,0.5232004700692348,0.9880777930909487,0.04506227010354548,0.1892014303945605,0.49459324666404875,0.9593634872882295,0.41638149873293556,2.5898280058984504,5.581956357793888,1.1349537494360995
19,141.31851283284362,14767,0.013027088729766144,0.07151388566253185,0.3700407426733807,1.225631980124371,0.037405934495341804,0.2134867994675846,0.5223436200358413,1.0319848064154522,0.05072963640130909,0.20143016399952807,0.49931933385450183,1.021370420808314,0.3869042451206394,2.65643910647556,5.602824379153468,1.1641450772701765
20,209.9588935944345,14669,0.013611953586416052,0.07986671080276495,0.400256967014442,1.3687858518712703,0.03905096065945972,0.2155563281080094,0.5117007512707894,1.0419888072187165,0.05151954006752056,0.19775835362519284,0.4909769941979957,1.002752164075068,0.41073693708656484,2.6885566897442392,5.6066618210440025,1.178220132243168
21,311.70460814088506,14367,0.015452152850493655,0.08793835131028985,0.4205489672397233,1.507120675191785,0.04384337030615918,0.221915059607517,0.5104091603172894,1.0727266060518643,0.05524272880414262,0.2110273671225522,0.5218417861223462,1.0700339337485558,0.3754344196810954,2.672396058488561,5.620130044442181,1.1711379750516044
22,462.52239664535387,13917,0.01638956517466645,0.10110136274728598,0.471207844136964,1.7327133362877805,0.04588743132899008,0.22589253662688535,0.5015838628722047,1.0919535365323039,0.057206826242933974,0.21475909164695944,0.521910572694957,1.0889559907640258,0.41262356999813654,2.709514035160045,5.624294118148437,1.1874043783412578
23,686.0797762438273,13146,0.018646548961363103,0.11372249900570712,0.5345817793738056,1.9490191359310065,0.0496949182878373,0.2355065747353035,0.5140486482857818,1.1384273292020617,0.0605205792674259,0.22134992872549086,0.529118552820104,1.122375444468062,0.36492186126356246,2.529347358798712,5.619340625668546,1.1084490020019715
24,1017.4591345312272,12173,0.02068628368971916,0.1281615829288779,0.571372084093466,2.1964816092113493,0.05397549374748991,0.24535362801989768,0.5163384819787542,1.1860275059015466,0.06490341287026799,0.231910219084974,0.550450092571368,1.1759223810050772,0.3654203296561799,2.546753160867474,5.5953106434464015,1.1160768368523521
25,1508.6631345790045,11481,0.021922610464285102,0.1436939743548442,0.6609926761719117,2.4626815993686164,0.05968993901371385,0.2510899527193853,0.527500437376421,1.2137566205320545,0.067667127691157,0.23372009729807428,0.5634132186334607,1.1850995371738542,0.37898815017967546,2.6390413327893842,5.570384116144906,1.1565207607395056
26,2236.775383060324,10098,0.024673032606213924,0.16713955321958238,0.7340733570348723,2.864500784313374,0.06374912981535572,0.2588468123640181,0.5507256669982418,1.2512529028254882,0.07383732771673499,0.25299073605565464,0.5839560672657714,1.2828131071092934,0.34695496864833153,2.442846695004264,5.520690951701319,1.0705413677966793
27,3316.0569979025463,8994,0.025925853183619917,0.18377961276698387,0.7784895518010513,3.1496844090531835,0.06430099741606364,0.26170044159258177,0.5597757117473672,1.2650472077397268,0.07978834857211943,0.2613739718658781,0.6139155140577375,1.3253210856424553,0.37668300009251793,2.400461502586735,5.464305693434424,1.0519666852520146
28,4915.877364289809,7740,0.02798715496676371,0.20505271941270334,0.882898992682776,3.514270944661477,0.07418363862792174,0.28230860706523153,0.5955649047440859,1.3646660774258559,0.08540448751977388,0.27686815027423917,0.6551464710201126,1.4038857613931237,0.36508830139192816,2.4198077023019966,5.417163888978076,1.060444870619602
29,7287.29291469889,6867,0.030558179903052676,0.21983269748947412,0.9917320500248092,3.7675757906869,0.0744522953515444,0.2968938063831034,0.6037251448962925,1.4351702216264448,0.0869237851848688,0.29780883402230524,0.6672810982662499,1.5100674501089517,0.4100745506792762,2.22263021738166,5.286010477526594,0.974034759482866
30,10802.44488480495,5620,0.030296212402010515,0.2462193727067123,1.0618979763156176,4.219800595643154,0.07324319438229401,0.30621600847011043,0.6051889352245047,1.4802332931611624,0.09896933187375097,0.31790877242164395,0.7194851308924267,1.611986061172595,0.4312703634689879,2.359226708237866,5.225510186903354,1.033896147615196
31,16012.958651912983,4502,0.028415800322755445,0.2517536035971948,1.1638410721918286,4.3146483346791165,0.07240262037277059,0.315269583005841,0.6036067193366342,1.523997832176805,0.09871430139934731,0.32840562854612587,0.775315102930331,1.6652113485086641,0.4412959821870694,2.1498763280592725,5.086386789351038,0.9421514455004547
32,23736.509140799273,3421,0.031183498130160376,0.2767574540260631,1.287013317152588,4.743173766180366,0.0765536775013014,0.3290124520757735,0.6100638346014198,1.5904301929227471,0.09757141256913916,0.34878326570424945,0.8605588501520753,1.7685380570115703,0.46836646553140776,2.2208180701908273,5.057843814297127,0.9732406128275355
33,35185.13682334052,2721,0.02981405679281921,0.2846360204371004,1.3605910191646822,4.878199612719707,0.07801341282244403,0.35301429403001244,0.6213432838399633,1.7064539296808623,0.10279199715648163,0.3719058042857241,0.8950493934863282,1.8857830440194376,0.5218993534580358,2.2091271340605196,4.953842303385742,0.9681172332960413
34,52155.45067084543,1976,0.025268827720239008,0.279648629981208,1.5295616704423862,4.792723831569258,0.06876413820679417,0.34942781358184893,0.6309752536264748,1.6891170576108268,0.1172720540835947,0.407129413878026,0.9961646044362871,2.0643876394650404,0.4709419537947167,2.2198094827469355,4.8545982627535125,0.9727986143247499
35,77310.56620683194,1431,0.020601919719976797,0.27545528926247276,1.5510268038111437,4.720856774691766,0.05864431142760192,0.32399768290355907,0.6235484567319531,1.566189042620657,0.12440038265376563,0.3973494368781916,1.0373299288031128,2.014797354547038,0.563027605941916,2.1029945607317533,4.561217090895258,0.9216062056283961
36,114598.02260363058,952,0.017705018573195456,0.25335966594478787,1.8332068911872808,4.342173637731067,0.054095962927927066,0.34289307578513173,0.7097593694206591,1.6575284528964407,0.10322058001828971,0.43368886800437945,1.1114091729679154,2.1990598270800805,0.5627048821359157,2.0989260046653286,4.34390897168478,0.9198232212171291
37,169869.2616704574,607,0.013631445365071361,0.2479277792312717,2.3541986117993527,4.249079911850834,0.0496897611008435,0.2977977637159001,0.7242807201726597,1.4395399074122663,0.11951029112467461,0.48746465143564544,1.3080116710041039,2.4717349491269336,0.5041541744413416,2.1266561690327848,4.299169254035797,0.931975554866176
38,251797.882262679,389,0.006042120556471011,0.19787707353001982,2.5599646473751143,3.391292015599138,0.029393558307874598,0.33290564839741266,0.9057254983846618,1.6092497146090712,0.0987069170962726,0.5300619810373651,1.5611643768967205,2.6877286791460424,0.7192699311387835,2.072420989088042,4.158173595163743,0.9082077908720286
39,373240.76983805175,209,0.004996126674230603,0.09540203620312258,2.3089839908325938,1.6350361255896886,0.013706885908387966,0.2635816017797118,0.9215480288947968,1.2741406446004289,0.06870713403870748,0.6689276893667009,1.5674680369860814,3.3918601961740014,0.6069545595160347,1.9064994270791094,4.082475598691266,0.835495124824152
40,553255.7003475098,115,0.0024966909509410848,0.03388054619995711,3.043117171011991,0.5806575959625815,0.007176071352930505,0.18205016241032712,0.9054438342321918,0.8800216316955435,0.006477328471850184,0.5779374727895313,1.6915051568822013,2.9304858222987904,0.30633743931631846,1.4913682021776284,3.167383729548475,0.6535700166174062
41,820092.036779423,77,0.0011732620156077243,0.006956789321567228,0.4560875523839895,0.11922808266545887,0.004294866801746653,0.044036058610787396,0.7117575894624881,0.21286816577927645,0.001733114151136161,0.45394342188794246,1.421515925674789,2.301762430367381,1.0254040446758281,2.087547633394485,3.5803462594690294,0.914836818603941
42,1215623.8420519007,45,0.0002723014049720552,0.0028026501735205836,0.1272976309173093,0.048032877111132105,0.0011019984863619614,0.0857969803958222,0.55642552384549,0.41473843078647515,0.0006906323818508464,0.38077133533925617,1.5618560428613502,1.930736545536005,0.14331648562196758,0.9777164748501401,3.1609801043797314,0.4284697580261333
43,1801921.0872999206,15,0.0005504965684102927,0.01220379464426473,0.1678054928533362,0.20915324144829625,0.007017963938447724,0.47998625399900724,1.2917817021218652,2.3202302093177183,0.006534986626495206,0.697767550028574,1.2977146276315976,3.5380953976721226,0.6379633182758968,1.444055901951385,2.6225211892729248,0.6328361020817986
44,2670990.1614003386,7,3.996904360266618e-05,0.0006752031442139665,0.003073569171616205,0.011571886479981077,0.0005175639649378993,0.006412462261091267,0.7964545514526241,0.03099753072162882,0.00024777859573849595,0.003797081696714003,0.9519776517629638,0.019253456649250482,0.05707435145815726,0.4851391879563054,2.072465117852815,0.2126050606894948
