region,R_FS_left,R_FS_right,n,n_detected,detection_fraction,wilson95_lower,wilson95_upper
very_weak_FS,0.0,0.01,299772,209337,0.69832072375005,0.696675133442802,0.6999612313202112
weak_to_moderate_FS,0.01,0.1,27340,18139,0.6634601316752011,0.657836398719924,0.6690379365288541
strong_FS_but_no_transit,0.1,1.0,3181,2165,0.6806035837786859,0.6641916901001654,0.6965798003668859
source_transit,1.0,inf,375,280,0.7466666666666667,0.7002986576586565,0.7880322673037052
