bin_index,delta_chi2_center,parameter_1,parameter_2,n_total,n_positive_definite,abs_corr_q16,abs_corr_median,abs_corr_q84
2,-4.657937162018517,t0,u0,87,74,0.16322725584725534,0.677395021171377,0.9422139810026217
2,-4.657937162018517,t0,tE,87,74,0.1542381509152142,0.6684724130449325,0.9422784533198798
2,-4.657937162018517,t0,rho,87,74,0.1130872049274321,0.40306616118650085,0.9027663194299249
2,-4.657937162018517,t0,piEN,87,74,0.15357505117755246,0.7648825991896682,0.9810677997069082
2,-4.657937162018517,t0,piEE,87,74,0.14485344936858854,0.6419412348331592,0.9848281077115257
2,-4.657937162018517,u0,tE,87,74,0.30853476323807844,0.7735195247641324,0.9760924061545218
2,-4.657937162018517,u0,rho,87,74,0.22242950264670616,0.6755973132855189,0.9880878582146148
2,-4.657937162018517,u0,piEN,87,74,0.2903861691680993,0.738431323188962,0.9768238727672588
2,-4.657937162018517,u0,piEE,87,74,0.25240997249108454,0.6921163704356021,0.9694594848042353
2,-4.657937162018517,tE,rho,87,74,0.1487236293736214,0.4734106028250952,0.9099395616843469
2,-4.657937162018517,tE,piEN,87,74,0.26752761438464134,0.7715205123342317,0.9762442116481671
2,-4.657937162018517,tE,piEE,87,74,0.2803876828802081,0.8613375888557326,0.9868706211428089
2,-4.657937162018517,rho,piEN,87,74,0.15728319517383146,0.49757056055020876,0.8857055199304782
2,-4.657937162018517,rho,piEE,87,74,0.1113621592714216,0.48383971018292726,0.895151019157716
2,-4.657937162018517,piEN,piEE,87,74,0.5124186251313237,0.9165182925970118,0.995166236597805
3,-2.81699576102346,t0,u0,214,182,0.14412347203555273,0.5567380185395046,0.946974714127308
3,-2.81699576102346,t0,tE,214,182,0.1487285989177977,0.5833132777975225,0.9262009665448717
3,-2.81699576102346,t0,rho,214,182,0.09035497856557573,0.4544627210155432,0.8227487240562437
3,-2.81699576102346,t0,piEN,214,182,0.2854415214364145,0.8030071423810146,0.9892385232376228
3,-2.81699576102346,t0,piEE,214,182,0.21669200679004508,0.7708120624723862,0.9825859540451267
3,-2.81699576102346,u0,tE,214,182,0.39566645911003856,0.8500016802235053,0.9860958998456328
3,-2.81699576102346,u0,rho,214,182,0.2763916313856502,0.804259406049454,0.9905567316297219
